NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.671198730468750000e+02,4.156998901367187500e+02,1.514199981689453125e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.400603294372558594e+00,6.910595297813415527e-01,8.775359392166137695e-01,0.000000000000000000e+00,2.638017463684082031e+01,1.939266085624694824e+00,2.462560176849365234e+00,0.000000000000000000e+00,2.784513092041015625e+01,2.046958446502685547e+00,2.599312067031860352e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,7.424259948730468750e+01,4.175119781494140625e+01,3.249140167236328125e+01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.173694152832031250e+02,2.359181060791015625e+02,8.145130157470703125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.148800659179687500e+01,6.583730316162109375e+01,2.565069961547851562e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.613603210449218750e+01,2.782074451446533203e+00,3.338489532470703125e+00,0.000000000000000000e+00,1.093974685668945312e+01,1.886163234710693359e+00,2.263396024703979492e+00,0.000000000000000000e+00,1.178900814056396484e+01,2.032587528228759766e+00,2.439105033874511719e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.360660171508789062e+01,3.734590148925781250e+01,1.626070022583007812e+01,5.360660552978515625e+01,3.734590148925781250e+01,1.626070022583007812e+01,0.000000000000000000e+00
1.000000000000000000e+00,6.678344249725341797e+00,1.319672822952270508e+00,1.999504089355468750e+00,0.000000000000000000e+00,1.429038763046264648e+00,2.823849022388458252e-01,4.278558790683746338e-01,0.000000000000000000e+00,3.010275363922119141e+00,5.948448777198791504e-01,9.012800455093383789e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.664319992065429688e+01,1.213679981231689453e+01,4.506400108337402344e+00,1.664319992065429688e+01,1.213680076599121094e+01,4.506400108337402344e+00,0.000000000000000000e+00
